 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
77,NeuralCrestChannel:0357-1104,48.649,1034.042,907.682,293.911,0.833,50305.349,74451,1.070,0.935,0.947
78,NeuralCrestChannel:0490-0869,82.433,628.893,714.150,403.070,0.874,51841.855,76725,1.394,0.717,1.012
79,NeuralCrestChannel:0426-0336,81.082,923.267,276.041,350.713,0.898,74860.382,110792,1.402,0.713,0.984
80,NeuralCrestChannel:0441-0343,59.460,1270.057,281.797,362.642,0.878,75517.822,111765,1.225,0.816,0.972
81,NeuralCrestChannel:0312-0729,50.001,592.324,599.038,256.886,0.801,29616.581,43832.000,1.305,0.766,0.937
82,NeuralCrestChannel:0509-0999,56.082,737.036,820.896,418.175,0.872,41334.293,61174,1.042,0.960,0.976
83,NeuralCrestChannel:0520-1053,80.406,940.126,865.908,428.196,0.833,75592.148,111875,1.705,0.586,0.967
84,NeuralCrestChannel:0498-0565,57.433,993.565,464.280,410.105,0.843,57063.541,84453,1.467,0.682,0.950
85,NeuralCrestChannel:0512-0418,131.758,483.010,343.349,421.178,0.933,63640.649,94187,1.205,0.830,0.990
86,NeuralCrestChannel:0529-0660,54.730,1506.753,542.901,435.401,0.846,82465.205,122047,1.266,0.790,1.006
87,NeuralCrestChannel:0538-0710,86.488,769.359,583.697,442.358,0.921,66540.009,98478,1.217,0.822,0.966
88,NeuralCrestChannel:0564-0641,42.568,1442.889,527.130,463.889,0.828,61421.027,90902,1.121,0.892,0.920
89,NeuralCrestChannel:0232-0910,60.812,808.156,748.723,191.042,0.908,49145.200,72734,1.069,0.936,0.952
90,NeuralCrestChannel:0481-0559,73.650,916.890,459.592,395.801,0.864,67528.535,99941,1.412,0.708,0.948
91,NeuralCrestChannel:0322-1071,47.974,715.296,880.773,264.887,0.844,34315.288,50786,1.061,0.943,0.934
92,NeuralCrestChannel:0392-0524,65.541,1735.732,431.131,322.008,0.901,113762.212,168366,1.492,0.670,0.990
93,NeuralCrestChannel:0352-0892,52.703,1089.128,733.403,290.113,0.780,57400.707,84952,1.833,0.546,0.957
94,NeuralCrestChannel:0341-0592,43.244,958.609,487.048,280.610,0.800,41453.889,61351,1.027,0.973,0.948
95,NeuralCrestChannel:0284-0633,49.325,689.247,520.354,233.397,0.791,33997.040,50315,1.196,0.836,0.885
96,NeuralCrestChannel:0527-0862,61.487,1992.692,708.695,433.307,0.808,122525.158,181335,1.452,0.689,0.933
97,NeuralCrestChannel:0533-0444,58.109,789.640,364.949,438.269,0.903,45885.025,67909,1.043,0.959,0.966
98,NeuralCrestChannel:0322-0658,53.379,702.241,541.745,264.689,0.822,37484.921,55477,1.519,0.658,0.952
99,NeuralCrestChannel:0313-0767,144.596,532.266,630.970,256.998,0.960,76963.786,113905.000,1.066,0.938,0.968
100,NeuralCrestChannel:0492-0551,56.757,1739.060,452.873,404.424,0.855,98704.594,146081,1.279,0.782,0.928
101,NeuralCrestChannel:0273-0600,37.163,901.782,493.357,224.249,0.746,33512.575,49598,1.037,0.965,0.902
102,NeuralCrestChannel:0539-0412,58.785,829.529,338.763,443.252,0.888,48763.439,72169,1.171,0.854,0.967
103,NeuralCrestChannel:0389-0742,69.595,987.379,610.151,320.217,0.831,68717.063,101700,1.504,0.665,0.972
104,NeuralCrestChannel:0345-0529,67.568,2145.540,434.994,283.664,0.862,144970.705,214554,1.305,0.766,0.962
105,NeuralCrestChannel:0343-0790,45.947,1260.074,650.081,282.284,0.808,57895.984,85685,1.284,0.779,0.925
106,NeuralCrestChannel:0339-0687,62.163,744.739,564.964,278.721,0.831,46295.165,68516,1.371,0.729,0.948
